scenario,a12,cliff_delta,magnitude
D01,0.588888888889,0.177777777778,small
D02,0.633333333333,0.266666666667,small
D03,0.576666666667,0.153333333333,small
D04,0.576666666667,0.153333333333,small
D05,0.574444444444,0.148888888889,small
D06,0.555000000000,0.110000000000,negligible
D07,0.588888888889,0.177777777778,small
D08,0.605555555556,0.211111111111,small
D09,0.574444444444,0.148888888889,small
D10,0.587777777778,0.175555555556,small
