host,variant,function,dim,a12,cliff_delta,magnitude
PSO,IBREAKDOWN-CF,10,10,0.503333333333,0.006666666667,negligible
PSO,IBREAKDOWN-CF,11,10,0.531111111111,0.062222222222,negligible
PSO,IBREAKDOWN-CF,12,10,0.601111111111,0.202222222222,small
PSO,IBREAKDOWN-CF,1,20,0.500000000000,0.000000000000,negligible
PSO,IBREAKDOWN-CF,2,20,0.471666666667,-0.056666666667,negligible
PSO,IBREAKDOWN-CF,3,20,0.528333333333,0.056666666667,negligible
PSO,IBREAKDOWN-CF,4,20,0.501666666667,0.003333333333,negligible
PSO,IBREAKDOWN-CF,5,20,0.493888888889,-0.012222222222,negligible
PSO,IBREAKDOWN-CF,6,20,0.511111111111,0.022222222222,negligible
PSO,IBREAKDOWN-CF,7,20,0.486666666667,-0.026666666667,negligible
PSO,IBREAKDOWN-CF,8,20,0.462222222222,-0.075555555556,negligible
PSO,IBREAKDOWN-CF,9,20,0.506666666667,0.013333333333,negligible
PSO,IBREAKDOWN-CF,10,20,0.498888888889,-0.002222222222,negligible
PSO,IBREAKDOWN-CF,11,20,0.516111111111,0.032222222222,negligible
PSO,IBREAKDOWN-CF,12,20,0.512222222222,0.024444444444,negligible
BA,SHAP-CF,1,10,0.774444444444,0.548888888889,large
BA,SHAP-CF,2,10,0.507777777778,0.015555555556,negligible
BA,SHAP-CF,3,10,0.756666666667,0.513333333333,large
BA,SHAP-CF,4,10,0.448333333333,-0.103333333333,negligible
BA,SHAP-CF,5,10,0.506666666667,0.013333333333,negligible
BA,SHAP-CF,6,10,0.505000000000,0.010000000000,negligible
BA,SHAP-CF,7,10,0.403333333333,-0.193333333333,small
BA,SHAP-CF,8,10,0.300555555556,-0.398888888889,medium
BA,SHAP-CF,9,10,0.548888888889,0.097777777778,negligible
BA,SHAP-CF,10,10,0.528888888889,0.057777777778,negligible
BA,SHAP-CF,11,10,0.694444444444,0.388888888889,medium
BA,SHAP-CF,12,10,0.485555555556,-0.028888888889,negligible
BA,SHAP-CF,1,20,0.823333333333,0.646666666667,large
BA,SHAP-CF,2,20,0.649444444444,0.298888888889,small
BA,SHAP-CF,3,20,0.887777777778,0.775555555556,large
BA,SHAP-CF,4,20,0.503333333333,0.006666666667,negligible
BA,SHAP-CF,5,20,0.505555555556,0.011111111111,negligible
BA,SHAP-CF,6,20,0.670000000000,0.340000000000,medium
BA,SHAP-CF,7,20,0.479444444444,-0.041111111111,negligible
BA,SHAP-CF,8,20,0.456666666667,-0.086666666667,negligible
BA,SHAP-CF,9,20,0.426666666667,-0.146666666667,negligible
BA,SHAP-CF,10,20,0.533333333333,0.066666666667,negligible
BA,SHAP-CF,11,20,0.940000000000,0.880000000000,large
BA,SHAP-CF,12,20,0.482222222222,-0.035555555556,negligible
BA,LIME-CF,1,10,0.617777777778,0.235555555556,small
BA,LIME-CF,2,10,0.504444444444,0.008888888889,negligible
BA,LIME-CF,3,10,0.473888888889,-0.052222222222,negligible
BA,LIME-CF,4,10,0.451666666667,-0.096666666667,negligible
BA,LIME-CF,5,10,0.503333333333,0.006666666667,negligible
BA,LIME-CF,6,10,0.483888888889,-0.032222222222,negligible
BA,LIME-CF,7,10,0.435000000000,-0.130000000000,negligible
BA,LIME-CF,8,10,0.291666666667,-0.416666666667,medium
BA,LIME-CF,9,10,0.545555555556,0.091111111111,negligible
BA,LIME-CF,10,10,0.498888888889,-0.002222222222,negligible
BA,LIME-CF,11,10,0.565555555556,0.131111111111,negligible
BA,LIME-CF,12,10,0.447222222222,-0.105555555556,negligible
BA,LIME-CF,1,20,0.731111111111,0.462222222222,medium
BA,LIME-CF,2,20,0.608888888889,0.217777777778,small
BA,LIME-CF,3,20,0.727777777778,0.455555555556,medium
BA,LIME-CF,4,20,0.528888888889,0.057777777778,negligible
BA,LIME-CF,5,20,0.504444444444,0.008888888889,negligible
BA,LIME-CF,6,20,0.587777777778,0.175555555556,small
BA,LIME-CF,7,20,0.455555555556,-0.088888888889,negligible
BA,LIME-CF,8,20,0.392222222222,-0.215555555556,small
BA,LIME-CF,9,20,0.483333333333,-0.033333333333,negligible
BA,LIME-CF,10,20,0.534444444444,0.068888888889,negligible
BA,LIME-CF,11,20,0.805555555556,0.611111111111,large
BA,LIME-CF,12,20,0.494444444444,-0.011111111111,negligible
BA,ACME-CF,1,10,1.000000000000,1.000000000000,large
BA,ACME-CF,2,10,0.643333333333,0.286666666667,small
BA,ACME-CF,3,10,0.994444444444,0.988888888889,large
BA,ACME-CF,4,10,0.413333333333,-0.173333333333,small
BA,ACME-CF,5,10,0.516666666667,0.033333333333,negligible
BA,ACME-CF,6,10,0.627777777778,0.255555555556,small
BA,ACME-CF,7,10,0.498888888889,-0.002222222222,negligible
BA,ACME-CF,8,10,0.495555555556,-0.008888888889,negligible
BA,ACME-CF,9,10,0.745555555556,0.491111111111,large
BA,ACME-CF,10,10,0.530000000000,0.060000000000,negligible
BA,ACME-CF,11,10,0.870000000000,0.740000000000,large
BA,ACME-CF,12,10,0.468888888889,-0.062222222222,negligible
BA,ACME-CF,1,20,1.000000000000,1.000000000000,large
BA,ACME-CF,2,20,0.805555555556,0.611111111111,large
BA,ACME-CF,3,20,1.000000000000,1.000000000000,large
BA,ACME-CF,4,20,0.478888888889,-0.042222222222,negligible
BA,ACME-CF,5,20,0.538888888889,0.077777777778,negligible
BA,ACME-CF,6,20,0.996666666667,0.993333333333,large
BA,ACME-CF,7,20,0.628888888889,0.257777777778,small
BA,ACME-CF,8,20,0.682222222222,0.364444444444,medium
BA,ACME-CF,9,20,0.575555555556,0.151111111111,small
BA,ACME-CF,10,20,0.713333333333,0.426666666667,medium
BA,ACME-CF,11,20,1.000000000000,1.000000000000,large
BA,ACME-CF,12,20,0.516666666667,0.033333333333,negligible
BA,IBREAKDOWN-CF,1,10,0.655555555556,0.311111111111,small
BA,IBREAKDOWN-CF,2,10,0.471111111111,-0.057777777778,negligible
BA,IBREAKDOWN-CF,3,10,0.721111111111,0.442222222222,medium
BA,IBREAKDOWN-CF,4,10,0.401666666667,-0.196666666667,small
BA,IBREAKDOWN-CF,5,10,0.513333333333,0.026666666667,negligible
BA,IBREAKDOWN-CF,6,10,0.469444444444,-0.061111111111,negligible
BA,IBREAKDOWN-CF,7,10,0.357222222222,-0.285555555556,small
BA,IBREAKDOWN-CF,8,10,0.325000000000,-0.350000000000,medium
BA,IBREAKDOWN-CF,9,10,0.533333333333,0.066666666667,negligible
BA,IBREAKDOWN-CF,10,10,0.550000000000,0.100000000000,negligible
BA,IBREAKDOWN-CF,11,10,0.699444444444,0.398888888889,medium
BA,IBREAKDOWN-CF,12,10,0.471666666667,-0.056666666667,negligible
BA,IBREAKDOWN-CF,1,20,0.768888888889,0.537777777778,large
BA,IBREAKDOWN-CF,2,20,0.530000000000,0.060000000000,negligible
BA,IBREAKDOWN-CF,3,20,0.768888888889,0.537777777778,large
BA,IBREAKDOWN-CF,4,20,0.508888888889,0.017777777778,negligible
BA,IBREAKDOWN-CF,5,20,0.509444444444,0.018888888889,negligible
BA,IBREAKDOWN-CF,6,20,0.535555555556,0.071111111111,negligible
BA,IBREAKDOWN-CF,7,20,0.457777777778,-0.084444444444,negligible
BA,IBREAKDOWN-CF,8,20,0.451111111111,-0.097777777778,negligible
BA,IBREAKDOWN-CF,9,20,0.486666666667,-0.026666666667,negligible
BA,IBREAKDOWN-CF,10,20,0.555555555556,0.111111111111,negligible
BA,IBREAKDOWN-CF,11,20,0.813333333333,0.626666666667,large
BA,IBREAKDOWN-CF,12,20,0.526666666667,0.053333333333,negligible
GWO,SHAP-CF,1,10,0.562222222222,0.124444444444,negligible
GWO,SHAP-CF,2,10,0.465555555556,-0.068888888889,negligible
GWO,SHAP-CF,3,10,0.444444444444,-0.111111111111,negligible
GWO,SHAP-CF,4,10,0.489444444444,-0.021111111111,negligible
GWO,SHAP-CF,5,10,0.505555555556,0.011111111111,negligible
GWO,SHAP-CF,6,10,0.530000000000,0.060000000000,negligible
GWO,SHAP-CF,7,10,0.521111111111,0.042222222222,negligible
GWO,SHAP-CF,8,10,0.452222222222,-0.095555555556,negligible
GWO,SHAP-CF,9,10,0.471111111111,-0.057777777778,negligible
GWO,SHAP-CF,10,10,0.530000000000,0.060000000000,negligible
GWO,SHAP-CF,11,10,0.471111111111,-0.057777777778,negligible
GWO,SHAP-CF,12,10,0.573333333333,0.146666666667,negligible
GWO,SHAP-CF,1,20,0.472222222222,-0.055555555556,negligible
GWO,SHAP-CF,2,20,0.470000000000,-0.060000000000,negligible
GWO,SHAP-CF,3,20,0.495555555556,-0.008888888889,negligible
GWO,SHAP-CF,4,20,0.590000000000,0.180000000000,small
GWO,SHAP-CF,5,20,0.503333333333,0.006666666667,negligible
GWO,SHAP-CF,6,20,0.444444444444,-0.111111111111,negligible
GWO,SHAP-CF,7,20,0.606666666667,0.213333333333,small
GWO,SHAP-CF,8,20,0.390000000000,-0.220000000000,small
GWO,SHAP-CF,9,20,0.502222222222,0.004444444444,negligible
GWO,SHAP-CF,10,20,0.455555555556,-0.088888888889,negligible
GWO,SHAP-CF,11,20,0.524444444444,0.048888888889,negligible
GWO,SHAP-CF,12,20,0.493333333333,-0.013333333333,negligible
GWO,LIME-CF,1,10,0.506666666667,0.013333333333,negligible
GWO,LIME-CF,2,10,0.424444444444,-0.151111111111,small
GWO,LIME-CF,3,10,0.395555555556,-0.208888888889,small
GWO,LIME-CF,4,10,0.292777777778,-0.414444444444,medium
GWO,LIME-CF,5,10,0.422222222222,-0.155555555556,small
GWO,LIME-CF,6,10,0.504444444444,0.008888888889,negligible
GWO,LIME-CF,7,10,0.562222222222,0.124444444444,negligible
GWO,LIME-CF,8,10,0.441111111111,-0.117777777778,negligible
GWO,LIME-CF,9,10,0.472222222222,-0.055555555556,negligible
GWO,LIME-CF,10,10,0.543333333333,0.086666666667,negligible
GWO,LIME-CF,11,10,0.468888888889,-0.062222222222,negligible
GWO,LIME-CF,12,10,0.498888888889,-0.002222222222,negligible
GWO,LIME-CF,1,20,0.397777777778,-0.204444444444,small
GWO,LIME-CF,2,20,0.527777777778,0.055555555556,negligible
GWO,LIME-CF,3,20,0.560000000000,0.120000000000,negligible
GWO,LIME-CF,4,20,0.524444444444,0.048888888889,negligible
GWO,LIME-CF,5,20,0.483333333333,-0.033333333333,negligible
GWO,LIME-CF,6,20,0.475555555556,-0.048888888889,negligible
GWO,LIME-CF,7,20,0.510000000000,0.020000000000,negligible
GWO,LIME-CF,8,20,0.480000000000,-0.040000000000,negligible
GWO,LIME-CF,9,20,0.448888888889,-0.102222222222,negligible
GWO,LIME-CF,10,20,0.460000000000,-0.080000000000,negligible
GWO,LIME-CF,11,20,0.440000000000,-0.120000000000,negligible
GWO,LIME-CF,12,20,0.516666666667,0.033333333333,negligible
GWO,ACME-CF,1,10,0.631111111111,0.262222222222,small
GWO,ACME-CF,2,10,0.422222222222,-0.155555555556,small
GWO,ACME-CF,3,10,0.458888888889,-0.082222222222,negligible
GWO,ACME-CF,4,10,0.592222222222,0.184444444444,small
GWO,ACME-CF,5,10,0.497777777778,-0.004444444444,negligible
GWO,ACME-CF,6,10,0.473333333333,-0.053333333333,negligible
GWO,ACME-CF,7,10,0.515555555556,0.031111111111,negligible
GWO,ACME-CF,8,10,0.431111111111,-0.137777777778,negligible
GWO,ACME-CF,9,10,0.444444444444,-0.111111111111,negligible
GWO,ACME-CF,10,10,0.505555555556,0.011111111111,negligible
GWO,ACME-CF,11,10,0.612222222222,0.224444444444,small
GWO,ACME-CF,12,10,0.621111111111,0.242222222222,small
GWO,ACME-CF,1,20,0.470000000000,-0.060000000000,negligible
GWO,ACME-CF,2,20,0.547777777778,0.095555555556,negligible
