problem,algorithm,variant,nfe,mean_best,median_best
RW26,GSK,SHAP-CF,2723,101030255.14355445,101030255.14355445
RW26,GSK,SHAP-CF,2815,101030255.1642458,101030255.1642458
RW26,GSK,SHAP-CF,2823,101030255.3494511,101030255.3494511
RW26,GSK,SHAP-CF,2830,101030255.14383304,101030255.14383304
RW26,GSK,SHAP-CF,2921,101030255.14351003,101030255.14351003
RW26,GSK,SHAP-CF,2942,101038449.70184429,101038449.70184429
RW26,GSK,SHAP-CF,2973,101030255.14457536,101030255.14457536
RW26,GSK,SHAP-CF,2986,101030255.14346154,101030255.14346154
RW26,GSK,SHAP-CF,2987,101030255.14345936,101030255.14345936
RW26,GSK,SHAP-CF,3012,101030255.87864833,101030255.87864833
RW26,GSK,SHAP-CF,3033,101030255.1556227,101030255.1556227
RW26,GSK,SHAP-CF,3041,101038449.70054074,101038449.70054074
RW26,GSK,SHAP-CF,3043,101038449.69752237,101038449.69752237
RW26,GSK,SHAP-CF,3050,101034352.41669187,101034352.41669187
RW26,GSK,SHAP-CF,3053,101030255.1455158,101030255.1455158
RW26,GSK,SHAP-CF,3163,101030255.14397296,101030255.14397296
RW26,GSK,SHAP-CF,3167,101030255.15420362,101030255.15420362
RW26,GSK,SHAP-CF,3234,101030255.14358072,101030255.14358072
RW26,GSK,SHAP-CF,3276,101038449.6884021,101038449.6884021
RW26,GSK,SHAP-CF,3284,101030255.30204888,101030255.30204888
RW26,GSK,SHAP-CF,3431,101030255.14693871,101030255.14693871
RW26,GSK,SHAP-CF,3481,101030255.14343975,101030255.14343975
RW26,GSK,SHAP-CF,3547,101030255.14349884,101030255.14349884
RW26,GSK,SHAP-CF,3561,101032687.20672171,101032687.20672171
RW26,GSK,SHAP-CF,3601,101030255.14343749,101030255.14343749
RW26,GSK,SHAP-CF,3663,101030255.14344853,101030255.14344853
RW26,GSK,SHAP-CF,3723,101030255.15340129,101030255.15340129
RW26,GSK,SHAP-CF,3747,101030255.14790568,101030255.14790568
RW26,GSK,SHAP-CF,3786,101030255.14343375,101030255.14343375
RW26,GSK,SHAP-CF,3791,101030255.14345019,101030255.14345019
RW26,GSK,SHAP-CF,3921,101037401.49462068,101037401.49462068
RW26,GSK,SHAP-CF,3963,101030255.22345509,101030255.22345509
RW26,GSK,SHAP-CF,3989,101038449.68830302,101038449.68830302
RW26,GSK,SHAP-CF,4074,101030255.14343368,101030255.14343368
RW26,GSK,SHAP-CF,4117,101030255.1434347,101030255.1434347
RW26,GSK,SHAP-CF,4125,101030255.14343397,101030255.14343397
RW26,GSK,SHAP-CF,4162,101030255.14603747,101030255.14603747
RW26,GSK,SHAP-CF,4185,101030255.14642821,101030255.14642821
RW26,GSK,SHAP-CF,4202,101031279.44177108,101031279.44177108
RW26,GSK,SHAP-CF,4236,101030255.15225652,101030255.15225652
RW26,GSK,SHAP-CF,4262,101038449.68824229,101038449.68824229
RW26,GSK,SHAP-CF,4264,101030255.14351091,101030255.14351091
RW26,GSK,SHAP-CF,4322,101030255.1434577,101030255.1434577
RW26,GSK,SHAP-CF,4323,101030255.14344904,101030255.14344904
RW26,GSK,SHAP-CF,4364,101030255.14343382,101030255.14343382
RW26,GSK,SHAP-CF,4365,101030255.14665073,101030255.14665073
RW26,GSK,SHAP-CF,4370,101030255.1434482,101030255.1434482
RW26,GSK,SHAP-CF,4373,101030255.14343406,101030255.14343406
RW26,GSK,SHAP-CF,4439,101030255.19115138,101030255.19115138
RW26,GSK,SHAP-CF,4502,101030255.77540137,101030255.77540137
RW26,GSK,SHAP-CF,4521,101038449.68823864,101038449.68823864
RW26,GSK,SHAP-CF,4522,101038449.68821698,101038449.68821698
RW26,GSK,SHAP-CF,4554,101030255.14343365,101030255.14343365
RW26,GSK,SHAP-CF,4559,101030255.15120469,101030255.15120469
RW26,GSK,SHAP-CF,4565,101030255.1434449,101030255.1434449
RW26,GSK,SHAP-CF,4583,101030255.14343363,101030255.14343363
RW26,GSK,SHAP-CF,4622,101030255.143439,101030255.143439
RW26,GSK,SHAP-CF,4680,101030255.144008,101030255.144008
RW26,GSK,SHAP-CF,4751,101030255.14838731,101030255.14838731
RW26,GSK,SHAP-CF,4795,101030255.14344206,101030255.14344206
RW26,GSK,SHAP-CF,4836,101030255.14805762,101030255.14805762
RW26,GSK,SHAP-CF,4880,101030255.14591202,101030255.14591202
RW26,GSK,SHAP-CF,4901,101030255.1434451,101030255.1434451
RW26,GSK,SHAP-CF,4975,101030255.14344585,101030255.14344585
RW26,GSK,SHAP-CF,5001,101030255.1434402,101030255.1434402
RW26,GSK,SHAP-CF,5025,101030255.14343365,101030255.14343365
RW26,GSK,SHAP-CF,5082,101030255.14343376,101030255.14343376
RW26,GSK,SHAP-CF,5105,101038449.6882107,101038449.6882107
RW26,GSK,SHAP-CF,5142,101030255.14343372,101030255.14343372
RW26,GSK,SHAP-CF,5181,101030255.1454361,101030255.1454361
RW26,GSK,SHAP-CF,5199,101030255.14504845,101030255.14504845
RW26,GSK,SHAP-CF,5272,101030255.14418486,101030255.14418486
RW26,GSK,SHAP-CF,5282,101030255.65777628,101030255.65777628
RW26,GSK,SHAP-CF,5370,101030255.14343365,101030255.14343365
RW26,GSK,SHAP-CF,5412,101038449.68820848,101038449.68820848
RW26,GSK,SHAP-CF,5414,101038449.6882049,101038449.6882049
RW26,GSK,SHAP-CF,5440,101038449.68820171,101038449.68820171
RW26,GSK,SHAP-CF,5506,101030255.14343598,101030255.14343598
RW26,GSK,SHAP-CF,5533,101030255.14343363,101030255.14343363
RW26,GSK,SHAP-CF,5557,101030255.1435504,101030255.1435504
RW26,GSK,SHAP-CF,5604,101030255.14343481,101030255.14343481
RW26,GSK,SHAP-CF,5619,101030255.17453548,101030255.17453548
RW26,GSK,SHAP-CF,5625,101030255.14343569,101030255.14343569
RW26,GSK,SHAP-CF,5651,101030255.1434417,101030255.1434417
RW26,GSK,SHAP-CF,5652,101030255.14343469,101030255.14343469
RW26,GSK,SHAP-CF,5659,101030255.15780094,101030255.15780094
RW26,GSK,SHAP-CF,5722,101030255.14343388,101030255.14343388
RW26,GSK,SHAP-CF,5724,101030255.14343362,101030255.14343362
RW26,GSK,SHAP-CF,5731,101030255.14346302,101030255.14346302
RW26,GSK,SHAP-CF,5766,101030255.14343363,101030255.14343363
RW26,GSK,SHAP-CF,5984,101030255.14343534,101030255.14343534
RW26,GSK,SHAP-CF,6092,101030255.1434337,101030255.1434337
RW26,GSK,SHAP-CF,6114,101030255.14343397,101030255.14343397
RW26,GSK,SHAP-CF,6142,101030255.14343373,101030255.14343373
RW26,GSK,SHAP-CF,6194,101030255.14343365,101030255.14343365
RW26,GSK,SHAP-CF,6270,101030255.14343362,101030255.14343362
RW26,GSK,SHAP-CF,6282,101030255.14343363,101030255.14343363
RW26,GSK,SHAP-CF,6286,101030255.14343363,101030255.14343363
RW26,GSK,SHAP-CF,6323,101030958.5108103,101030958.5108103
RW26,GSK,SHAP-CF,6339,101030255.1458109,101030255.1458109
RW26,GSK,SHAP-CF,6342,101030255.14343368,101030255.14343368
RW26,GSK,SHAP-CF,6384,101030255.14343362,101030255.14343362
RW26,GSK,SHAP-CF,6442,101032258.84481846,101032258.84481846
RW26,GSK,SHAP-CF,6529,101030255.1434339,101030255.1434339
RW26,GSK,SHAP-CF,6665,101030255.14343363,101030255.14343363
RW26,GSK,SHAP-CF,6831,101030255.14343362,101030255.14343362
