Dimension,MH_Group,Algorithm,Variant,Triggers,Activated,Applied,Useful,ExplanationFEs,MedianGainExplanation,MedianGainIntervention,MedianInterventionDistance
20,KNOWLEDGE_BASED,GSK,LIME-CF,20217,20205,20205,4513,14528760,0.0,0.0,0.0999999999999999
20,KNOWLEDGE_BASED,GSK,SHAP-CF,20601,20575,20575,4471,4836000,0.0,0.0,0.1
20,RECENT_BIOINSPIRED,OPA,ACME-CF,29761,29734,29734,844,22912560,0.0,0.0,0.1
20,RECENT_BIOINSPIRED,OPA,IBREAKDOWN-CF,30479,30461,30461,932,15715740,0.0,0.0,0.1
20,RECENT_BIOINSPIRED,OPA,LIME-CF,29561,29534,29534,909,21264480,0.0,0.0,0.1
20,RECENT_BIOINSPIRED,OPA,SHAP-CF,30368,30337,30337,895,15879420,0.0,0.0,0.1
20,RECENT_BIOINSPIRED,SBOA,ACME-CF,26617,26593,26593,1621,20662500,0.0,0.0,0.1
20,RECENT_BIOINSPIRED,SBOA,IBREAKDOWN-CF,27547,27527,27527,2443,14864340,0.0,0.0,0.1
20,RECENT_BIOINSPIRED,SBOA,LIME-CF,26710,26690,26690,2271,19216800,0.0,0.0,0.1
20,RECENT_BIOINSPIRED,SBOA,SHAP-CF,27478,27453,27453,2372,15074760,0.0,0.0,0.1
