Dimension,Function,Algorithm,Variant_A,Variant_B,N_Pairs,Mean_Log10_AminusB,Median_Log10_AminusB,Shapiro_p,Paired_t_p,Wilcoxon_p,Cohen_dz,Rank_Biserial,Wilcoxon_p_Holm_Block,Paired_t_p_Holm_Block
10,1,BA,ACME-CF,IBREAKDOWN-CF,30,-0.8857251659969351,-0.7412998186954527,0.08804987846043114,1.4023533566567898e-10,1.862645149230957e-09,-1.765654211281359,-1.0,1.862645149230957e-08,9.81647349659753e-10
10,1,BA,ACME-CF,LIME-CF,30,-0.9037283288887672,-0.7662274687222582,0.23537158400344224,1.2924903524969383e-11,1.862645149230957e-09,-1.95971528478735,-1.0,1.862645149230957e-08,1.1632413172472445e-10
10,1,BA,ACME-CF,SHAP-CF,30,-0.8422544380236865,-0.6661967847133818,0.013173706921027921,4.408388593706084e-11,1.862645149230957e-09,-1.8583815215107713,-1.0,1.862645149230957e-08,3.526710874964867e-10
10,1,BA,ACME-CF,Standard,30,-0.9549367694728121,-0.8402689681243191,0.02110651202418004,6.7514011748367146e-12,1.862645149230957e-09,-2.0146796555948763,-1.0,1.862645149230957e-08,6.751401174836714e-11
10,1,BA,IBREAKDOWN-CF,LIME-CF,30,-0.018003162891832177,0.012011674538546346,0.033559188495147746,0.6465565941050371,0.9192965272814035,-0.08459979382410364,0.06666666666666667,0.9192965272814035,0.6465565941050371
10,1,BA,IBREAKDOWN-CF,SHAP-CF,30,0.043470727973248705,0.03989716561873152,0.8742031220932672,0.16576462426027722,0.1459994912147522,0.2595751244038401,0.3333333333333333,0.2919989824295044,0.33152924852055443
10,1,BA,IBREAKDOWN-CF,Standard,30,-0.06921160347587725,-0.062943242818293,0.0015299769791069973,0.06255926140029233,0.024786051362752914,-0.3536210908354517,-0.4666666666666667,0.12393025681376457,0.25023704560116933
10,1,BA,LIME-CF,SHAP-CF,30,0.061473890865080885,0.03680709804481491,0.6118239042226028,0.0441081154410935,0.052263347432017326,0.3842464823123315,0.4,0.2090533897280693,0.2205405772054675
10,1,BA,LIME-CF,Standard,30,-0.05120844058404507,-0.04778943040058803,0.9917392240842621,0.07700211796293005,0.09610157273709774,-0.3347606542409776,-0.26666666666666666,0.2883047182112932,0.25023704560116933
10,1,BA,SHAP-CF,Standard,30,-0.11268233144912596,-0.0909175685038,0.6844836662889355,0.0005118533544740164,0.0003800932317972183,-0.7136911267444734,-0.6,0.00228055939078331,0.0030711201268440983
10,1,GSK,ACME-CF,IBREAKDOWN-CF,30,1.447679806125072e-09,0.0,7.76637667465555e-12,0.32558198801619365,0.31731050786291415,,1.0,1.0,1.0
10,1,GSK,ACME-CF,LIME-CF,30,0.2649959271546219,0.0,7.76637667465555e-12,0.32558198801619365,0.31731050786291415,0.1825741858350554,1.0,1.0,1.0
10,1,GSK,ACME-CF,SHAP-CF,30,0.0007760786772818486,0.0,7.76637667465555e-12,0.32558198801619376,0.31731050786291415,0.18257418583505527,1.0,1.0,1.0
10,1,GSK,ACME-CF,Standard,30,2.508643273576213e-08,0.0,7.76637667465555e-12,0.32558198801619365,0.31731050786291415,0.1825741858350554,1.0,1.0,1.0
10,1,GSK,IBREAKDOWN-CF,LIME-CF,30,0.264995925706942,0.0,7.76637667465555e-12,0.32558198801619376,0.31731050786291415,0.18257418583505536,1.0,1.0,1.0
10,1,GSK,IBREAKDOWN-CF,SHAP-CF,30,0.0007760772296020425,0.0,7.76637667465555e-12,0.32558198801619365,0.31731050786291415,0.1825741858350554,1.0,1.0,1.0
10,1,GSK,IBREAKDOWN-CF,Standard,30,2.3638752929637057e-08,0.0,7.76637667465555e-12,0.32558198801619365,0.31731050786291415,0.18257418583505536,1.0,1.0,1.0
10,1,GSK,LIME-CF,SHAP-CF,30,-0.26421984847734,0.0,7.76637667465555e-12,0.32558198801619376,0.31731050786291415,-0.18257418583505533,-1.0,1.0,1.0
10,1,GSK,LIME-CF,Standard,30,-0.2649959020681891,0.0,7.76637667465555e-12,0.32558198801619365,0.31731050786291415,-0.18257418583505539,-1.0,1.0,1.0
10,1,GSK,SHAP-CF,Standard,30,-0.0007760535908491129,0.0,7.76637667465555e-12,0.32558198801619365,0.31731050786291415,-0.18257418583505533,-1.0,1.0,1.0
10,1,GWO,ACME-CF,IBREAKDOWN-CF,30,-0.3351904482296142,-0.19143516652269887,0.178493741289883,0.1368145489284743,0.12413446232676506,-0.27936691483028536,-0.4,0.9930756986141205,1.0
10,1,GWO,ACME-CF,LIME-CF,30,-0.47079730013191406,-0.21271611354519382,0.08498822489672554,0.08354965942617533,0.09610157273709774,-0.32719951907894,-0.2,0.8649141546338797,0.751946934835578
10,1,GWO,ACME-CF,SHAP-CF,30,-0.2510369472430065,-0.19168925837881418,0.558196699535058,0.3545273330363552,0.2988441474735737,-0.17178437176099678,-0.06666666666666667,1.0,1.0
10,1,GWO,ACME-CF,Standard,30,-0.5357359918181515,-0.28492272797006557,0.3163273653991195,0.040279767605105855,0.034536734223365784,-0.39200169175262395,-0.26666666666666666,0.34536734223365784,0.40279767605105854
10,1,GWO,IBREAKDOWN-CF,LIME-CF,30,-0.1356068519023,-0.06206101248923518,0.2324293008419382,0.5782214397469193,0.6554384250193834,-0.10266449845627507,-0.13333333333333333,1.0,1.0
10,1,GWO,IBREAKDOWN-CF,SHAP-CF,30,0.08415350098660761,0.20443041865113076,0.11308301540137612,0.7197007833651653,0.3598779272288084,0.06615997355111058,0.26666666666666666,1.0,1.0
10,1,GWO,IBREAKDOWN-CF,Standard,30,-0.20054554358853718,-0.048534960871053356,0.4003769778602973,0.4209174399534765,0.5978077705949545,-0.14905677149979402,-0.06666666666666667,1.0,1.0
10,1,GWO,LIME-CF,SHAP-CF,30,0.21976035288890763,0.03409480170984042,0.745690377513089,0.421251909653117,0.39305018074810505,0.1489482475224854,0.06666666666666667,1.0,1.0
10,1,GWO,LIME-CF,Standard,30,-0.06493869168623716,-0.011174849044115587,0.03425928938876482,0.779492224611698,0.8393927440047264,-0.05159511707769487,-0.06666666666666667,1.0,1.0
10,1,GWO,SHAP-CF,Standard,30,-0.28469904457514467,-0.012672014808269738,0.4093774880261402,0.18955424497999582,0.3817984350025654,-0.24527415413672507,0.0,1.0,1.0
10,1,L-SHADE,ACME-CF,IBREAKDOWN-CF,30,0.008819675235610861,0.0,0.0014285247647146716,0.6218878803194663,0.46911315243545415,0.09101423127025374,0.25,1.0,1.0
10,1,L-SHADE,ACME-CF,LIME-CF,30,0.006392757787279753,0.0,0.002923876230638396,0.7348325656987997,0.7173808884143212,0.062436563178510464,0.125,1.0,1.0
10,1,L-SHADE,ACME-CF,SHAP-CF,30,0.002239183753364197,0.0,0.00011285323125463237,0.9058119581713888,0.6050949464540121,0.02179233956176894,0.25,1.0,1.0
10,1,L-SHADE,ACME-CF,Standard,30,0.003640114624667312,0.0,3.334285454709687e-05,0.8077360931257702,0.8767217432348915,0.04483680424818615,-0.125,1.0,1.0
10,1,L-SHADE,IBREAKDOWN-CF,LIME-CF,30,-0.002426917448331108,0.0,0.00037133397004830937,0.8833885183101807,0.836138661741041,-0.027015965005225816,0.0,1.0,1.0
10,1,L-SHADE,IBREAKDOWN-CF,SHAP-CF,30,-0.006580491482246664,0.0,6.933693879336405e-05,0.6662231090275166,0.8647045760375567,-0.07956216282081004,-0.06666666666666667,1.0,1.0
10,1,L-SHADE,IBREAKDOWN-CF,Standard,30,-0.005179560610943549,0.0,0.0013950850840304021,0.750620312571602,0.6050949464540121,-0.05858003299708324,-0.25,1.0,1.0
10,1,L-SHADE,LIME-CF,SHAP-CF,30,-0.004153574033915556,0.0,0.0008685952519138422,0.7697817960277971,0.6791156892928161,-0.05393513559127945,0.0,1.0,1.0
10,1,L-SHADE,LIME-CF,Standard,30,-0.0027526431626124412,0.0,0.0004021441366075406,0.8564769328557873,0.6050949464540121,-0.033315854068484314,-0.375,1.0,1.0
