Dimension,Function,Topology,MH_Group,Algorithm,Variant,Runs,FinalErr_Mean,FinalErr_Median,FinalErr_STD,FinalErr_Q1,FinalErr_Q3,FinalErr_IQR,Log10Err_Mean,Log10Err_Median,Log10Err_STD,ExecTime_s_Mean,ExecTime_s_Median,ExecTime_s_STD,OptimizerFEs_Median,ExplanationFEs_Median,OracleFEs_Median,OracleAttempts,OracleActivations,AppliedInterventions,Rescues
10,1,Unimodal,CLASSICAL_SWARM,BA,ACME-CF,30,1.2248126280043607,1.1557903775230045,0.908589295071434,0.2941628187648746,1.882847019611816,1.5886842008469415,-0.08925895664050035,0.06280377001270765,0.4535033346737241,1.979276632000013,1.9612593124984414,0.09488710020461948,144380.0,55620.0,55620.0,1653,1641,1641,50
10,1,Unimodal,CLASSICAL_SWARM,BA,IBREAKDOWN-CF,30,6.59252107112707,7.216546529089527,1.9018956820658208,5.554530275714882,7.858222750055759,2.3036924743408775,0.7964662093564348,0.8583196196261063,0.15528979447902583,2.040439080499588,2.032419562499854,0.08657345568915412,156590.0,43410.0,43410.0,2050,2044,2044,56
10,1,Unimodal,CLASSICAL_SWARM,BA,LIME-CF,30,6.867723375415417,6.937583775428635,2.178027528356135,5.496258783775033,8.143115351389994,2.646856567614961,0.814469372248267,0.8411974122412985,0.14534572081967617,2.005896937566528,2.035524874998373,0.11028613950619362,151760.0,48240.0,48240.0,1982,1976,1976,77
10,1,Unimodal,CLASSICAL_SWARM,BA,SHAP-CF,30,5.863344748487037,6.132930878071363,1.4594350830901741,4.874984031419331,7.112267519591683,2.237283488172352,0.7529954813831861,0.7875820287616333,0.12160715018041009,1.908483588834012,1.8871259789993928,0.11669848228662859,155270.0,44730.0,44730.0,2043,2030,2030,45
10,1,Unimodal,CLASSICAL_SWARM,BA,Standard,30,7.535024995260684,7.894774265514712,1.6231678292732432,6.505510424726651,8.859285711585912,2.3537752868592605,0.8656778128323119,0.8973350526539208,0.10581885448813089,1.7414883416667484,1.7558363335010654,0.0669286439651843,200000.0,0.0,0.0,0,0,0,0
10,1,Unimodal,KNOWLEDGE_BASED,GSK,ACME-CF,30,0.02536208043438819,8.26108248475066e-09,0.13891379248195304,7.355183129220677e-09,9.170051384899125e-09,1.8148682556784479e-09,-7.85175237444653,-8.082963442527635,1.466092410533239,0.4387075695997434,0.3006033335004758,0.7551409652520104,13789.5,0.0,0.0,56,55,55,1
10,1,Unimodal,KNOWLEDGE_BASED,GSK,IBREAKDOWN-CF,30,0.02536207789812579,8.26108248475066e-09,0.1389137785902717,7.355183129220677e-09,9.170051384899125e-09,1.8148682556784479e-09,-7.85175237589421,-8.082963442527635,1.4660924026339914,0.44531508196717673,0.3024209169998357,0.7773187418605151,13789.5,0.0,0.0,60,60,60,7
10,1,Unimodal,KNOWLEDGE_BASED,GSK,LIME-CF,30,7.893025137188185e-09,8.26108248475066e-09,1.641902598520164e-09,7.355183129220677e-09,8.844594390211569e-09,1.4894112609908916e-09,-8.116748301601152,-8.082963442527635,0.12778151280327546,0.4055727042330545,0.30799614550051047,0.5182355584656649,13789.5,0.0,0.0,14,14,14,14
10,1,Unimodal,KNOWLEDGE_BASED,GSK,SHAP-CF,30,0.02403823200272844,8.26108248475066e-09,0.13166277599457418,7.355183129220677e-09,9.170051384899125e-09,1.8148682556784479e-09,-7.852528453123813,-8.082963442527635,1.4618577932979868,0.4468467346331939,0.308419146000233,0.7760361159884227,13789.5,0.0,0.0,2,2,2,2
10,1,Unimodal,KNOWLEDGE_BASED,GSK,Standard,30,0.025362036484252334,8.26108248475066e-09,0.13891355175714487,7.355183129220677e-09,9.170051384899125e-09,1.8148682556784479e-09,-7.8517523995329634,-8.082963442527635,1.466092273649421,0.44997570133249004,0.3021516664994124,0.7730492612794942,13789.5,0.0,0.0,0,0,0,0
