Dimension,MH_Group,Topology,Algorithm,Variant,Runs,FinalErr_Mean,FinalErr_Median,Log10FinalErr_Median,ExecTime_s_Median,ExplanationFEs_Median,AppliedInterventions,Rescues
10,ADAPTIVE_DE,Composition,L-SHADE,ACME-CF,120,96.39257159955196,82.23675967826466,-2.8925377009626274,9.263290208000399,6720.0,3133,727
10,ADAPTIVE_DE,Composition,L-SHADE,IBREAKDOWN-CF,120,96.40027478210712,82.23675968895304,-2.8922112008637364,9.27609383300296,3271.0,3320,1079
10,ADAPTIVE_DE,Composition,L-SHADE,LIME-CF,120,96.40557239580154,82.23675968767816,-2.8928547765911903,9.274924791498051,6156.0,3135,885
10,ADAPTIVE_DE,Composition,L-SHADE,SHAP-CF,120,96.41328857115572,82.2367596830311,-2.892161773969789,9.041454104000877,3840.0,3305,1149
10,ADAPTIVE_DE,Composition,L-SHADE,Standard,120,96.40429573232608,82.2367597203197,-2.892775464175784,9.091653395495086,0.0,0,0
10,ADAPTIVE_DE,Composition,jSO,ACME-CF,120,108.35297588506364,164.47351934604512,2.2160959854006617,14.123638125005527,25438.0,3444,1009
10,ADAPTIVE_DE,Composition,jSO,IBREAKDOWN-CF,120,108.3534788662238,164.47351934603444,2.2160959854006332,14.070008229500672,17808.0,3684,1433
10,ADAPTIVE_DE,Composition,jSO,LIME-CF,120,108.34498929339819,164.47351934605467,2.2160959854006865,14.142625478991249,23040.0,3506,1228
10,ADAPTIVE_DE,Composition,jSO,SHAP-CF,120,108.36199367650849,164.4735193460292,2.2160959854006195,14.136494103993755,18534.0,3699,1508
10,ADAPTIVE_DE,Composition,jSO,Standard,120,108.34248770462722,164.47351934613494,2.216095985400899,14.07781614549458,0.0,0,0
10,ADAPTIVE_DE,Hybrid,L-SHADE,ACME-CF,90,3.7718362310522,0.7342528059854203,-0.13436018127708968,38.65608166699894,28768.5,3553,652
10,ADAPTIVE_DE,Hybrid,L-SHADE,IBREAKDOWN-CF,90,2.396374246818757,0.6772165555290712,-0.16932534189151932,38.927963083002396,19773.0,3627,1024
10,ADAPTIVE_DE,Hybrid,L-SHADE,LIME-CF,90,4.557982703521167,1.0062746388563257,0.0027006037050530565,38.800333562998276,28158.0,3612,812
10,ADAPTIVE_DE,Hybrid,L-SHADE,SHAP-CF,90,3.976463004575276,0.7200521974741605,-0.14305476340035927,38.81893606250378,21864.5,3724,966
10,ADAPTIVE_DE,Hybrid,L-SHADE,Standard,90,2.0825377920140733,0.4223896000426066,-0.37429743430418383,38.652164916500624,0.0,0,0
10,ADAPTIVE_DE,Hybrid,jSO,ACME-CF,90,4.797414500675766,1.7918699721244593,0.25325164971588743,38.64871606250381,33870.5,3954,538
10,ADAPTIVE_DE,Hybrid,jSO,IBREAKDOWN-CF,90,4.480793959281934,1.7447720870634384,0.24173266580712732,38.65976877049252,24068.5,4119,810
10,ADAPTIVE_DE,Hybrid,jSO,LIME-CF,90,4.51766788089263,1.6505179427464327,0.21745867512755768,38.86961018749571,33138.0,3910,724
10,ADAPTIVE_DE,Hybrid,jSO,SHAP-CF,90,3.8229796521852575,1.8573531058677872,0.26870024040887075,38.71661597950151,24947.0,4119,809
10,ADAPTIVE_DE,Hybrid,jSO,Standard,90,4.2019813247340405,2.3247358523783532,0.3663736125461151,38.62468724950304,0.0,0,0
10,ADAPTIVE_DE,Multimodal,L-SHADE,ACME-CF,120,4.888122667420234,9.972097814170413e-09,-8.001213514280654,2.3620400834988686,1440.0,3312,313
10,ADAPTIVE_DE,Multimodal,L-SHADE,IBREAKDOWN-CF,120,5.301302928147252,1.1250929247808017e-05,-6.325286518647014,3.092525291496713,898.5,3684,399
10,ADAPTIVE_DE,Multimodal,L-SHADE,LIME-CF,120,4.837966990727963,1.1250953974695221e-05,-6.324208874928498,3.0276790624993737,1440.0,3286,376
10,ADAPTIVE_DE,Multimodal,L-SHADE,SHAP-CF,120,4.990785858104995,9.805660283745965e-09,-8.00852316802321,2.683165000504232,870.0,3532,474
10,ADAPTIVE_DE,Multimodal,L-SHADE,Standard,120,5.7526568517627386,4.12184704146057e-08,-7.5712566540266275,2.9346657505011535,0.0,0,0
10,ADAPTIVE_DE,Multimodal,jSO,ACME-CF,120,6.755561617572868,1.9932895611149206,-3.702262371459725,3.4065889794983377,4890.0,3200,417
10,ADAPTIVE_DE,Multimodal,jSO,IBREAKDOWN-CF,120,6.958092460377459,1.9932895611534036,-3.7005777876293924,3.237318896004581,3504.5,3442,607
10,ADAPTIVE_DE,Multimodal,jSO,LIME-CF,120,6.980174151772251,1.9932895611137837,-3.7023123368854454,3.5530976875015767,3562.5,3203,546
10,ADAPTIVE_DE,Multimodal,jSO,SHAP-CF,120,6.786766042636819,1.9932895611559616,-3.700466275666303,3.260442979499203,2850.0,3429,643
10,ADAPTIVE_DE,Multimodal,jSO,Standard,120,8.029295357355348,1.993289561172105,-3.699763829341325,3.161387291496794,0.0,0,0
10,ADAPTIVE_DE,Unimodal,L-SHADE,ACME-CF,30,7.984046609029368e-09,8.036892040763632e-09,-8.094916115574621,0.770219479501975,194.0,13,13
10,ADAPTIVE_DE,Unimodal,L-SHADE,IBREAKDOWN-CF,30,7.811907683693183e-09,7.944976232465706e-09,-8.099918325281005,0.7746127294994949,73.5,15,15
10,ADAPTIVE_DE,Unimodal,L-SHADE,LIME-CF,30,7.855116261149911e-09,8.027967624002486e-09,-8.095396777246744,0.7389351460005855,74.5,11,11
10,ADAPTIVE_DE,Unimodal,L-SHADE,SHAP-CF,30,7.941863107892762e-09,8.064972689680872e-09,-8.093397285453772,0.6950852505033254,180.0,16,16
10,ADAPTIVE_DE,Unimodal,L-SHADE,Standard,30,7.921086838299137e-09,8.036892040763632e-09,-8.094916115574621,0.6993314579958678,0.0,0,0
10,ADAPTIVE_DE,Unimodal,jSO,ACME-CF,30,8.031552548951975e-09,8.361382697330555e-09,-8.077761645621143,1.095511000501574,854.0,39,36
10,ADAPTIVE_DE,Unimodal,jSO,IBREAKDOWN-CF,30,8.166222187355743e-09,8.870188139553647e-09,-8.052071476021275,1.0852278750026016,652.5,43,42
10,ADAPTIVE_DE,Unimodal,jSO,LIME-CF,30,7.733010913095011e-09,7.86857867751678e-09,-8.104186306684703,1.113317833001929,975.0,45,45
10,ADAPTIVE_DE,Unimodal,jSO,SHAP-CF,30,7.727010142843938e-09,8.038966825552052e-09,-8.095169479194286,1.1983676249983546,444.0,41,41
10,ADAPTIVE_DE,Unimodal,jSO,Standard,30,8.38901807280005e-09,8.609845281171147e-09,-8.065004652828668,1.2277645000031043,0.0,0,0
10,CLASSICAL_SWARM,Composition,BA,ACME-CF,120,245.06951435835117,222.29769936536763,2.346934952200648,14.69491660399217,56610.0,6451,214
10,CLASSICAL_SWARM,Composition,BA,IBREAKDOWN-CF,120,244.84656974734096,220.07480700327824,2.3425576637350236,14.799426562502049,42330.0,7851,340
10,CLASSICAL_SWARM,Composition,BA,LIME-CF,120,245.85640502799146,222.76506616055505,2.347847082705684,14.75783431250602,46440.0,7643,396
10,CLASSICAL_SWARM,Composition,BA,SHAP-CF,120,243.5007235578775,221.52413438476424,2.3454210006015055,14.828577146006864,43530.0,7746,319
10,CLASSICAL_SWARM,Composition,BA,Standard,120,244.11584177144215,217.2427614209014,2.3368362728500696,14.84116502100369,0.0,0,0
10,CLASSICAL_SWARM,Composition,GWO,ACME-CF,120,181.12796144351267,166.13262711427865,2.220454612243815,18.618811895503313,35160.0,5724,608
10,CLASSICAL_SWARM,Composition,GWO,IBREAKDOWN-CF,120,180.81640221077024,166.42343072078347,2.221214470490658,18.58574810400023,25230.0,6445,1224
10,CLASSICAL_SWARM,Composition,GWO,LIME-CF,120,183.98331337675057,166.42454433538728,2.2212173765420964,18.55622862549353,35280.0,5959,1086
10,CLASSICAL_SWARM,Composition,GWO,SHAP-CF,120,181.22803749580402,166.3656957248959,2.221063753749635,18.59340285450162,25050.0,6422,1220
10,CLASSICAL_SWARM,Composition,GWO,Standard,120,178.13504655674907,166.42450519153113,2.221217274393268,18.50014831250155,0.0,0,0
10,CLASSICAL_SWARM,Composition,PSO,ACME-CF,120,195.58902380826703,170.61545356680836,2.2320183574279087,11.470682228995429,51120.0,6138,876
10,CLASSICAL_SWARM,Composition,PSO,IBREAKDOWN-CF,120,195.5604986236695,170.7325157676587,2.2323161132703415,11.499260874996253,38880.0,6667,1053
10,CLASSICAL_SWARM,Composition,PSO,LIME-CF,120,195.76889944361525,170.1888215996321,2.2309307113477406,11.440277562498522,48240.0,6256,840
10,CLASSICAL_SWARM,Composition,PSO,SHAP-CF,120,195.60732710181279,170.63096675623592,2.232057337683707,11.464270895499794,39150.0,6656,1032
10,CLASSICAL_SWARM,Composition,PSO,Standard,120,196.52123332184925,175.3580126849365,2.243923004257784,11.37649302099453,0.0,0,0
10,CLASSICAL_SWARM,Hybrid,BA,ACME-CF,90,13907.74460881035,32.740894932440256,1.5150821132400818,35.81201218749993,63750.0,5181,119
10,CLASSICAL_SWARM,Hybrid,BA,IBREAKDOWN-CF,90,17925.497985390477,34.32666303355552,1.535631584556707,35.951299228996504,43260.0,6115,246
10,CLASSICAL_SWARM,Hybrid,BA,LIME-CF,90,17693.921804097125,32.847512835498605,1.5164751922961082,35.90614208349871,47520.0,5920,232
