MH_Group,Algorithm,Variant,FeatureType,Feature,MeanNormalizedContribution,MedianNormalizedContribution,Top1Frequency,Top3Frequency,UsefulAssociated
ADAPTIVE_DE,L-SHADE,ACME-CF,Actionable,CR,0.09312078229450134,0.0,0.09203774209567953,0.997227280251614,0.17488826353252773
ADAPTIVE_DE,L-SHADE,ACME-CF,Actionable,F,0.0241134165543653,0.0,0.8854908127793412,0.9983446449263367,0.17488826353252773
ADAPTIVE_DE,L-SHADE,ACME-CF,Actionable,archive_rate,0.021679317075677707,0.0,0.019615957622910116,0.04059758318159245,0.17488826353252773
ADAPTIVE_DE,L-SHADE,ACME-CF,Actionable,pbest_rate,0.0044402334546974976,0.0,0.002855487502069194,0.9638304916404569,0.17488826353252773
ADAPTIVE_DE,L-SHADE,IBREAKDOWN-CF,Actionable,CR,0.003466823650634074,0.0,0.003902591320636903,0.9973852638151732,0.2570636902903528
ADAPTIVE_DE,L-SHADE,IBREAKDOWN-CF,Actionable,F,0.008830545799225101,0.0,0.9875897596003747,0.9994146113019045,0.2570636902903528
ADAPTIVE_DE,L-SHADE,IBREAKDOWN-CF,Actionable,archive_rate,0.003069814800247881,0.0,0.0022244770527630347,0.008819856384639401,0.2570636902903528
ADAPTIVE_DE,L-SHADE,IBREAKDOWN-CF,Actionable,pbest_rate,0.005862912534157696,0.0,0.006283172026225413,0.9943802684982829,0.2570636902903528
ADAPTIVE_DE,L-SHADE,LIME-CF,Actionable,CR,0.2480690689427017,0.22148379654867612,0.24515499939056595,0.7498882704261975,0.23036606671271279
ADAPTIVE_DE,L-SHADE,LIME-CF,Actionable,F,0.2487729132752007,0.2219394263129982,0.24873034575224476,0.7442408483321822,0.23036606671271279
ADAPTIVE_DE,L-SHADE,LIME-CF,Actionable,archive_rate,0.2455930812857079,0.22094196084443105,0.241051476861821,0.7475724210782919,0.23036606671271279
ADAPTIVE_DE,L-SHADE,LIME-CF,Actionable,pbest_rate,0.25756493649638973,0.232122390184412,0.2650631779953683,0.7582984601633284,0.23036606671271279
ADAPTIVE_DE,L-SHADE,SHAP-CF,Actionable,CR,0.0035899036560330198,0.0,0.0038643194504079004,0.9961747140793942,0.25664545844880754
ADAPTIVE_DE,L-SHADE,SHAP-CF,Actionable,F,0.008877879388844634,0.0,0.9874312034037238,0.9991412623443539,0.25664545844880754
ADAPTIVE_DE,L-SHADE,SHAP-CF,Actionable,archive_rate,0.0035976505706312206,0.0,0.0023029782583239003,0.011710058940630002,0.25664545844880754
ADAPTIVE_DE,L-SHADE,SHAP-CF,Actionable,pbest_rate,0.005832376603469229,0.0,0.0064014988875444,0.992973964635622,0.25664545844880754
ADAPTIVE_DE,jSO,ACME-CF,Actionable,CR,0.042330408126285066,0.0,0.03902908880755153,0.9936813716047005,0.16840685802350222
ADAPTIVE_DE,jSO,ACME-CF,Actionable,F,0.030339108158821064,0.0,0.8649585821614333,0.9975341937969563,0.16840685802350222
ADAPTIVE_DE,jSO,ACME-CF,Actionable,archive_rate,0.08338548166069894,0.0,0.09273743016759776,0.11188595646310923,0.16840685802350222
ADAPTIVE_DE,jSO,ACME-CF,Actionable,pbest_rate,0.004954441468565952,0.0,0.0032748988634174535,0.896898478135234,0.16840685802350222
ADAPTIVE_DE,jSO,IBREAKDOWN-CF,Actionable,CR,0.006424824258842988,0.0,0.006818181818181818,0.9996646795827123,0.23573025335320416
ADAPTIVE_DE,jSO,IBREAKDOWN-CF,Actionable,F,0.016107662806424415,0.0,0.9883755588673622,0.999478390461997,0.23573025335320416
ADAPTIVE_DE,jSO,IBREAKDOWN-CF,Actionable,archive_rate,0.0022083386571841953,0.0,0.0012667660208643815,0.006222056631892697,0.23573025335320416
ADAPTIVE_DE,jSO,IBREAKDOWN-CF,Actionable,pbest_rate,0.004096730164284615,0.0,0.0035394932935916544,0.994634873323398,0.23573025335320416
ADAPTIVE_DE,jSO,LIME-CF,Actionable,CR,0.2508761902019058,0.22426077995756533,0.2514061175745435,0.7533323060328222,0.2267123815394098
ADAPTIVE_DE,jSO,LIME-CF,Actionable,F,0.2476189999625259,0.2234510128813642,0.24308498343477927,0.7486709299637877,0.2267123815394098
ADAPTIVE_DE,jSO,LIME-CF,Actionable,archive_rate,0.24997474335990089,0.22638922053057256,0.249364357808768,0.7520995454195238,0.2267123815394098
ADAPTIVE_DE,jSO,LIME-CF,Actionable,pbest_rate,0.2515300664756674,0.22493584913818293,0.2561445411819092,0.7458972185838663,0.2267123815394098
ADAPTIVE_DE,jSO,SHAP-CF,Actionable,CR,0.015168926210032761,0.0,0.015460268971426442,0.9969079462057147,0.24382520582647246
ADAPTIVE_DE,jSO,SHAP-CF,Actionable,F,0.01546053987938452,0.0,0.9769027306932906,0.9978020340498454,0.24382520582647246
ADAPTIVE_DE,jSO,SHAP-CF,Actionable,archive_rate,0.004661112971539831,0.0,0.002086204969638267,0.018030771523302163,0.24382520582647246
ADAPTIVE_DE,jSO,SHAP-CF,Actionable,pbest_rate,0.007588383797143695,0.0,0.005550795365644675,0.9872592482211378,0.24382520582647246
CLASSICAL_SWARM,BA,ACME-CF,Actionable,alpha,0.0003996555973543716,0.0,0.000136577815210216,0.0014340670597072682,0.05271903667114338
CLASSICAL_SWARM,BA,ACME-CF,Actionable,fmax,2.2629731273360794e-05,0.0,2.276296920170267e-05,0.9981334365254604,0.05271903667114338
CLASSICAL_SWARM,BA,ACME-CF,Actionable,fmin,2.276296920170267e-05,0.0,0.5403928888484214,0.9995675035851677,0.05271903667114338
CLASSICAL_SWARM,BA,ACME-CF,Actionable,gamma,0.0,0.0,0.0,0.0,0.05271903667114338
