Dimension,Function,Algorithm,Variant,Runs,Best,Worst,Median,Mean,Std,TargetSuccessRate,MedianFEterm
10,1,BA,ACME-CF,30,0.1004944372895124,3.109407000307442,1.1557903775230045,1.2248126280043607,0.908589295071434,0.0,200000.0
10,1,BA,IBREAKDOWN-CF,30,1.7456405489702431,11.063790679519345,7.216546529089527,6.59252107112707,1.9018956820658208,0.0,200000.0
10,1,BA,LIME-CF,30,2.7682630535946373,12.353397073702922,6.937583775428635,6.867723375415417,2.178027528356135,0.0,200000.0
10,1,BA,SHAP-CF,30,2.88437167760776,7.938212980484366,6.132930878071363,5.863344748487037,1.4594350830901741,0.0,200000.0
10,1,BA,Standard,30,3.581388036687656,9.750588712893148,7.894774265514712,7.535024995260684,1.6231678292732432,0.0,200000.0
10,1,GSK,ACME-CF,30,1e-08,0.7608621847803079,1e-08,0.025362082492676945,0.13891379209320434,0.9666666666666667,13789.5
10,1,GSK,IBREAKDOWN-CF,30,1e-08,0.7608621086924359,1e-08,0.025362079956414544,0.138913778201523,0.9666666666666667,13789.5
10,1,GSK,LIME-CF,30,1e-08,1e-08,1e-08,1.0000000000000004e-08,3.365285905649484e-24,1.0,13789.5
10,1,GSK,SHAP-CF,30,1e-08,0.7211467318305154,1e-08,0.024038234061017193,0.1316627756058255,0.9666666666666667,13789.5
10,1,GSK,Standard,30,1e-08,0.7608608662762322,1e-08,0.02536203854254109,0.13891355136839617,0.9666666666666667,13789.5
10,1,GWO,ACME-CF,30,0.003386028691068,18.11129490744611,0.5317478890935661,2.436508483652405,4.17258247224803,0.0,200000.0
10,1,GWO,IBREAKDOWN-CF,30,0.0025251486231354,56.43216998297271,0.40740764028413423,5.0651340410145,10.9566850974805,0.0,200000.0
10,1,GWO,LIME-CF,30,0.0019828155686241,34.36616957610266,1.3562390241201854,5.079644989467601,8.494570561542124,0.0,200000.0
10,1,GWO,SHAP-CF,30,0.002675417181706,48.932241406804394,0.4420294298057854,5.112117677785629,10.85317150194004,0.0,200000.0
10,1,GWO,Standard,30,0.0062774182795806,40.753973678978696,1.5758461646165074,5.264316393229978,8.984314354713359,0.0,200000.0
10,1,L-SHADE,ACME-CF,30,1e-08,1e-08,1e-08,1.0000000000000004e-08,3.365285905649484e-24,1.0,30506.0
10,1,L-SHADE,IBREAKDOWN-CF,30,1e-08,1e-08,1e-08,1.0000000000000004e-08,3.365285905649484e-24,1.0,30332.5
10,1,L-SHADE,LIME-CF,30,1e-08,1e-08,1e-08,1.0000000000000004e-08,3.365285905649484e-24,1.0,30519.5
10,1,L-SHADE,SHAP-CF,30,1e-08,1e-08,1e-08,1.0000000000000004e-08,3.365285905649484e-24,1.0,30381.5
10,1,L-SHADE,Standard,30,1e-08,1e-08,1e-08,1.0000000000000004e-08,3.365285905649484e-24,1.0,30315.5
10,1,OPA,ACME-CF,30,0.0689165111653551,26.12944285596643,6.505230004238683,7.535180797159323,6.164876617206183,0.0,200000.0
