Dimension,Function,Algorithm,Variant,Runs,ExecTime_s_Mean,ExecTime_s_Median,ExecTime_s_STD,OptimizerFEs_Mean,ExplanationFEs_Mean,OracleFEs_Mean,ExplanationShare_Mean
10,1,BA,ACME-CF,30,1.979276632000013,1.9612593124984414,0.09488710020461949,143928.0,56072.0,56072.0,0.28036
10,1,BA,IBREAKDOWN-CF,30,2.040439080499588,2.032419562499854,0.0865734556891541,156576.0,43424.0,43424.0,0.21712
10,1,BA,LIME-CF,30,2.005896937566528,2.035524874998373,0.11028613950619362,152576.0,47424.0,47424.0,0.23712
10,1,BA,SHAP-CF,30,1.908483588834012,1.8871259789993928,0.11669848228662862,155200.0,44800.0,44800.0,0.224
10,1,BA,Standard,30,1.7414883416667484,1.7558363335010654,0.06692864396518429,200000.0,0.0,0.0,0.0
10,1,GSK,ACME-CF,30,0.4387075695997434,0.3006033335004758,0.7551409652520104,19232.533333333333,750.0,750.0,0.0037500000000000003
10,1,GSK,IBREAKDOWN-CF,30,0.44531508196717673,0.3024209169998357,0.7773187418605151,19502.533333333333,480.0,480.0,0.0024
10,1,GSK,LIME-CF,30,0.4055727042330545,0.30799614550051047,0.5182355584656649,17639.433333333334,336.0,336.0,0.00168
10,1,GSK,SHAP-CF,30,0.4468467346331939,0.308419146000233,0.7760361159884228,19966.533333333333,16.0,16.0,7.999999999999999e-05
10,1,GSK,Standard,30,0.44997570133249004,0.3021516664994124,0.773049261279494,19982.533333333333,0.0,0.0,0.0
10,1,GWO,ACME-CF,30,5.720434480500989,5.699998833497375,0.1742491904077634,165404.0,34596.0,34596.0,0.17298
10,1,GWO,IBREAKDOWN-CF,30,5.697607863899126,5.690215041995543,0.12826091882796922,176060.0,23940.0,23940.0,0.1197
10,1,GWO,LIME-CF,30,5.807933223633639,5.785730542000238,0.17046146120860686,166040.0,33960.0,33960.0,0.1698
10,1,GWO,SHAP-CF,30,5.801693524965958,5.77121139549854,0.14097890347461647,175776.0,24224.0,24224.0,0.12111999999999999
10,1,GWO,Standard,30,6.125390315300562,6.066468208500737,0.21321473961292556,200000.0,0.0,0.0,0.0
10,1,L-SHADE,ACME-CF,30,0.7676930598005128,0.770219479501975,0.05002788685607692,30267.9,318.3333333333333,318.3333333333333,0.0015916666666666668
10,1,L-SHADE,IBREAKDOWN-CF,30,0.7704907916333468,0.7746127294994949,0.05073381339373633,30237.4,134.9,134.9,0.0006745
10,1,L-SHADE,LIME-CF,30,0.7401318166341905,0.7389351460005855,0.06801653013009284,30238.6,313.1666666666667,313.1666666666667,0.0015658333333333334
10,1,L-SHADE,SHAP-CF,30,0.6992291487001542,0.6950852505033254,0.05803335182629155,30306.0,121.36666666666666,121.36666666666666,0.0006068333333333332
10,1,L-SHADE,Standard,30,0.7181594014657701,0.6993314579958678,0.06018905093935849,30316.933333333334,0.0,0.0,0.0
10,1,OPA,ACME-CF,30,4.357727888933004,4.372471416998451,0.13063129939361756,150582.0,49418.0,49418.0,0.24709
10,1,OPA,IBREAKDOWN-CF,30,4.237461972166299,4.23251904150311,0.17001607534523172,163576.0,36424.0,36424.0,0.18212
10,1,OPA,LIME-CF,30,4.379467120799624,4.376376291500492,0.24211625482411556,152174.76666666666,46464.0,46464.0,0.23232
10,1,OPA,SHAP-CF,30,4.3272594320333155,4.32784024999637,0.1451903163758133,163862.0,36138.0,36138.0,0.18069
10,1,OPA,Standard,30,4.417615387432549,4.422159395999188,0.17459683781320992,200000.0,0.0,0.0,0.0
10,1,PSO,ACME-CF,30,0.16657690546611165,0.1643204579995654,0.020273018697060788,18981.566666666666,182.0,182.0,0.0009099999999999999
10,1,PSO,IBREAKDOWN-CF,30,0.17182553056676014,0.16751522900085541,0.02568923176070991,18975.233333333334,126.0,126.0,0.00063
10,1,PSO,LIME-CF,30,0.1677789596666116,0.1654976664976857,0.020130105631787135,18964.433333333334,168.0,168.0,0.00084
10,1,PSO,SHAP-CF,30,0.17211998326699052,0.17011564600034035,0.021786577233644987,18986.433333333334,126.0,126.0,0.00063
10,1,PSO,Standard,30,0.1590643778336622,0.15993612500096785,0.014183159918355809,18978.166666666668,0.0,0.0,0.0
10,1,SBOA,ACME-CF,30,4.356896190333646,4.395448375002161,0.22126854337250831,152506.0,47494.0,47494.0,0.23747000000000001
10,1,SBOA,IBREAKDOWN-CF,30,4.160802518199004,4.175254709000001,0.23274514096707707,162902.0,37098.0,37098.0,0.18549000000000002
10,1,SBOA,LIME-CF,30,4.082848190299895,4.019311729502078,0.25138949777927905,154184.0,45816.0,45816.0,0.22908
10,1,SBOA,SHAP-CF,30,4.106753541599271,4.039388000001054,0.20663931286075599,162812.0,37188.0,37188.0,0.18594
10,1,SBOA,Standard,30,3.9559060221673765,3.927952207999624,0.1376736144248157,200000.0,0.0,0.0,0.0
10,1,jSO,ACME-CF,30,1.0835247860666035,1.095511000501574,0.06740874521983478,47504.166666666664,1128.2666666666667,1128.2666666666667,0.005641333333333333
10,1,jSO,IBREAKDOWN-CF,30,1.1030889388008898,1.0852278750026016,0.07660419768123741,47798.03333333333,668.3,668.3,0.0033414999999999994
10,1,jSO,LIME-CF,30,1.1260033388335917,1.113317833001929,0.09905298230439614,48447.3,1109.8,1109.8,0.005549
10,1,jSO,SHAP-CF,30,1.2019230972332784,1.1983676249983546,0.07300369812959266,47402.1,571.1,571.1,0.0028554999999999995
10,1,jSO,Standard,30,1.2413958597006665,1.2277645000031043,0.06704879112371254,47837.666666666664,0.0,0.0,0.0
10,2,BA,ACME-CF,30,2.7958183652990556,2.814523333498073,0.10459896106096153,143268.0,56732.0,56732.0,0.28366
10,2,BA,IBREAKDOWN-CF,30,2.7167679888996643,2.73155297950143,0.10497394724488861,157548.0,42452.0,42452.0,0.21226
10,2,BA,LIME-CF,30,3.1059900680333765,3.12468537499808,0.1282338409924884,153152.0,46848.0,46848.0,0.23423999999999998
10,2,BA,SHAP-CF,30,3.1415427736661514,3.140007562502433,0.1191075207992036,156280.0,43720.0,43720.0,0.2186
10,2,BA,Standard,30,2.825240840367769,2.7756678959995043,0.22463291703962474,200000.0,0.0,0.0,0.0
10,2,GSK,ACME-CF,30,4.423802426466136,4.500151062500663,0.39775472405292644,179632.7,15532.0,15532.0,0.07766
10,2,GSK,IBREAKDOWN-CF,30,4.443308954133924,4.516347646003851,0.3974944746442259,184085.63333333333,11792.0,11792.0,0.05896
10,2,GSK,LIME-CF,30,4.605055389000094,4.6790860630026145,0.3976586973758637,166556.46666666667,29502.0,29502.0,0.14751
10,2,GSK,SHAP-CF,30,4.630968852800288,4.736751396001637,0.5864053699346423,183712.5,9916.0,9916.0,0.04958
10,2,GSK,Standard,30,4.7351830557328265,4.730460604499967,0.08404086781784456,200000.0,0.0,0.0,0.0
10,2,GWO,ACME-CF,30,6.712972516768059,6.7091164584999206,0.19724576244777942,164684.0,35316.0,35316.0,0.17658
10,2,GWO,IBREAKDOWN-CF,30,6.214693426366284,6.215723749999597,0.19555401637925499,174610.0,25390.0,25390.0,0.12695
10,2,GWO,LIME-CF,30,6.3774815235672575,6.379009104501165,0.20074776217629525,164552.0,35448.0,35448.0,0.17723999999999998
10,2,GWO,SHAP-CF,30,6.239421909666514,6.227187417000096,0.14644956206163073,173952.0,26048.0,26048.0,0.13024
10,2,GWO,Standard,30,6.163968222266703,6.156089812498976,0.13388107704009775,200000.0,0.0,0.0,0.0
10,2,L-SHADE,ACME-CF,30,5.4722121667005315,5.535300583997014,0.34866719896557224,160279.23333333334,38313.9,38313.9,0.1915695
10,2,L-SHADE,IBREAKDOWN-CF,30,5.73771176520022,5.73995966649818,0.15841446080135302,173113.36666666667,26886.633333333335,26886.633333333335,0.13443316666666666
10,2,L-SHADE,LIME-CF,30,5.348519861267172,5.352307416502299,0.09332317983870336,165272.8,34727.2,34727.2,0.173636
10,2,L-SHADE,SHAP-CF,30,5.305643491633721,5.3118808754989,0.16214529522478077,172117.83333333334,27112.766666666666,27112.766666666666,0.13556383333333333
10,2,L-SHADE,Standard,30,5.335583308332813,5.333670708499994,0.11148225384313995,200000.0,0.0,0.0,0.0
10,2,OPA,ACME-CF,30,5.210690383432908,5.172570979499142,0.207165608249241,153506.0,46494.0,46494.0,0.23247
10,2,OPA,IBREAKDOWN-CF,30,5.059248997401058,5.054291333501169,0.21269759855292686,165996.0,34004.0,34004.0,0.17002
10,2,OPA,LIME-CF,30,4.966406159666561,4.957793562502047,0.20337668088344685,154592.0,45408.0,45408.0,0.22704000000000002
10,2,OPA,SHAP-CF,30,4.988421731966325,5.034495500498451,0.20725747928891727,164484.0,35516.0,35516.0,0.17758
10,2,OPA,Standard,30,4.978856344366068,5.0159401040036755,0.15839309590379724,200000.0,0.0,0.0,0.0
10,2,PSO,ACME-CF,30,2.698090986166547,2.6913585205038544,0.15504660988023913,155306.0,44694.0,44694.0,0.22346999999999997
10,2,PSO,IBREAKDOWN-CF,30,2.582364300067032,2.5583170209974924,0.1118405549957341,166052.0,33948.0,33948.0,0.16974
10,2,PSO,LIME-CF,30,2.700861806965986,2.6699358119985845,0.1292676759486914,157808.0,42192.0,42192.0,0.21096
10,2,PSO,SHAP-CF,30,2.6519697347333326,2.643069458001264,0.09566740820375431,165716.0,34284.0,34284.0,0.17142
10,2,PSO,Standard,30,2.5348117611341876,2.5154252920037834,0.11118791462934861,200000.0,0.0,0.0,0.0
10,2,SBOA,ACME-CF,30,4.32655537629956,4.284520979497756,0.1552013898496828,153274.0,46726.0,46726.0,0.23362999999999998
10,2,SBOA,IBREAKDOWN-CF,30,4.311393586000244,4.3045403539981635,0.13034672155906094,163738.0,36262.0,36262.0,0.18131
10,2,SBOA,LIME-CF,30,4.43624670823289,4.41586987449773,0.17374764496375458,154856.0,45144.0,45144.0,0.22572
10,2,SBOA,SHAP-CF,30,4.625958500033206,4.631512416497571,0.2510912929793922,164062.0,35938.0,35938.0,0.17969
10,2,SBOA,Standard,30,4.966482397166207,4.938420937498449,0.1774053447821517,200000.0,0.0,0.0,0.0
10,2,jSO,ACME-CF,30,5.287157019466637,5.271956208001939,0.11320855864202273,171687.1,28312.9,28312.9,0.14156449999999998
10,2,jSO,IBREAKDOWN-CF,30,5.2893140888663766,5.2754970629976015,0.13141934930351445,179079.2,20920.8,20920.8,0.10460399999999999
10,2,jSO,LIME-CF,30,5.255534790133727,5.248094750499149,0.1271193956444305,174213.2,25786.8,25786.8,0.128934
10,2,jSO,SHAP-CF,30,5.266110961100639,5.277041229499446,0.10539092545858461,179035.53333333333,20964.466666666667,20964.466666666667,0.10482233333333334
10,2,jSO,Standard,30,5.261335540298508,5.252030228999502,0.1139796463937246,200000.0,0.0,0.0,0.0
10,3,BA,ACME-CF,30,3.8300928401666168,3.811648374499782,0.09007964433433631,143510.0,56490.0,56490.0,0.28245
10,3,BA,IBREAKDOWN-CF,30,3.8198840166007964,3.8123579375023837,0.06838850836957237,156396.0,43604.0,43604.0,0.21802000000000002
10,3,BA,LIME-CF,30,3.8270989500003147,3.8168901040007768,0.08809116435393136,151976.0,48024.0,48024.0,0.24012
10,3,BA,SHAP-CF,30,3.814231998600735,3.8077425835035683,0.07088566717447957,154840.0,45160.0,45160.0,0.2258
10,3,BA,Standard,30,3.744920413799991,3.7238085414974194,0.08742062881500075,200000.0,0.0,0.0,0.0
10,3,GSK,ACME-CF,30,2.2986338207997807,0.746359458004008,2.412685441738565,68083.9,10287.1,10287.1,0.051435499999999995
10,3,GSK,IBREAKDOWN-CF,30,2.8724031054334773,1.5761377285016351,2.7906630467786218,88855.63333333333,8684.0,8684.0,0.04342
10,3,GSK,LIME-CF,30,2.451239744365739,0.8723688119971484,2.5463725449760712,65399.2,17566.0,17566.0,0.08783
10,3,GSK,SHAP-CF,30,2.650823919467075,0.8450927704980131,2.6823016330054696,81852.13333333333,7722.0,7722.0,0.038610000000000005
10,3,GSK,Standard,30,3.0090440680335937,2.9208650835025765,2.848353215603359,103599.2,0.0,0.0,0.0
10,3,GWO,ACME-CF,30,7.3759255334327465,7.356587958998716,0.14054651862324485,164258.0,35742.0,35742.0,0.17871
10,3,GWO,IBREAKDOWN-CF,30,7.37599962653403,7.381663792006293,0.1379662892290181,174683.03333333333,25316.0,25316.0,0.12658
10,3,GWO,LIME-CF,30,7.376500959733191,7.352412916497997,0.1592365108354225,165703.43333333332,34296.0,34296.0,0.17148
