Benchmark,Dimension,Function,Algorithm,Variant,Run,SeedMode,BaseSeed,Final_Fit,Final_Err,ErrorTarget,TargetReached,FirstTargetFE,CompetitionFEterm,TerminationReason,Exec_Time_s,MaxFEs,TotalFEs,OptimizerFEs,ExplanationFEs,DirectionProbeFEs,CFValidationFEs,OracleFEs,ExplanationShareOfMaxFEs,ExplanationShareOfConsumedFEs,BudgetValid,BudgetExhausted,LastGlobalImprovementFE,LastOptimizerImprovementFE,LastMeaningfulOptimizerImprovementFE,BestOptimizerFit,LastMeaningfulOptimizerFit,OracleAttempts,OracleActivations,AppliedInterventions,Rescues,FailedInterventions,BudgetSkips,Oracle_Time_ms,TrajectorySnapshots,Final_Diversity,Final_Diversity_Norm,Canonical_Status,Machine_ID,Architecture,Platform,Python_Version,Processor,NumPy_Version
CEC2022,10,1,GWO,ACME-CF,1,paired,1149588806,300.01354888224813,0.0135488822481306,1e-08,False,0,200000,max_fes_exhausted,3.604124541001511,200000,200000,160940,39060,0,0,39060,0.1953,0.1953,True,True,199956,199956,199956,300.01354888224813,300.01354888224813,52,52,52,3,49,0,708.7120879587019,0,5.718674353377965e-05,1.429668588344491e-09,reference_style,Mac-mini-de-Pablo.local,arm64,macOS-26.5-arm64-arm-64bit,"3.11.9 (v3.11.9:de54cf5be3, Apr  2 2024, 07:12:50) [Clang 13.0.0 (clang-1300.0.29.30)]",arm,1.26.0
CEC2022,10,1,GWO,IBREAKDOWN-CF,1,paired,1149588806,300.0259791058966,0.0259791058966243,1e-08,False,0,200000,max_fes_exhausted,3.607425875001354,200000,200000,178160,21840,0,0,21840,0.1092,0.1092,True,True,199932,199932,199932,300.0259791058966,300.0259791058966,48,48,48,10,38,0,397.4810850195354,0,2.2545329694989143e-05,5.636332423747744e-10,reference_style,Mac-mini-de-Pablo.local,arm64,macOS-26.5-arm64-arm-64bit,"3.11.9 (v3.11.9:de54cf5be3, Apr  2 2024, 07:12:50) [Clang 13.0.0 (clang-1300.0.29.30)]",arm,1.26.0
CEC2022,10,1,GWO,LIME-CF,1,paired,1149588806,300.00718699585974,0.0071869958597403,1e-08,False,0,200000,max_fes_exhausted,3.606895541997801,200000,200000,167600,32400,0,0,32400,0.162,0.162,True,True,199950,199950,199950,300.00718699585974,300.00718699585974,45,45,45,11,34,0,589.5907099766191,0,3.432823835861582e-05,8.58205958965449e-10,reference_style,Mac-mini-de-Pablo.local,arm64,macOS-26.5-arm64-arm-64bit,"3.11.9 (v3.11.9:de54cf5be3, Apr  2 2024, 07:12:50) [Clang 13.0.0 (clang-1300.0.29.30)]",arm,1.26.0
CEC2022,10,1,GWO,SHAP-CF,1,paired,1149588806,300.06451686540413,0.0645168654041299,1e-08,False,0,200000,max_fes_exhausted,3.594777291000355,200000,200000,177500,22500,0,0,22500,0.1125,0.1125,True,True,199978,199978,199978,300.06451686540413,300.06451686540413,46,46,46,12,34,0,406.51517000515014,0,1.6003488451389025e-05,4.0008721128470304e-10,reference_style,Mac-mini-de-Pablo.local,arm64,macOS-26.5-arm64-arm-64bit,"3.11.9 (v3.11.9:de54cf5be3, Apr  2 2024, 07:12:50) [Clang 13.0.0 (clang-1300.0.29.30)]",arm,1.26.0
CEC2022,10,1,GWO,Standard,1,paired,1149588806,300.0303879543046,0.030387954304615,1e-08,False,0,200000,max_fes_exhausted,3.580623709000065,200000,200000,200000,0,0,0,0,0.0,0.0,True,True,199958,199958,199958,300.0303879543046,300.0303879543046,0,0,0,0,0,0,0.0,0,3.0663182159549124e-05,7.66579553988741e-10,reference_style,Mac-mini-de-Pablo.local,arm64,macOS-26.5-arm64-arm-64bit,"3.11.9 (v3.11.9:de54cf5be3, Apr  2 2024, 07:12:50) [Clang 13.0.0 (clang-1300.0.29.30)]",arm,1.26.0
CEC2022,10,1,L-SHADE,ACME-CF,1,paired,273107051,300.0000000069126,6.912614480825141e-09,1e-08,True,29210,29210,target_reached,0.4160855830050423,200000,29210,29210,0,0,0,0,0.0,0.0,True,False,29210,29210,26238,300.0000000069126,300.00000054478284,0,0,0,0,0,0,0.0,0,9.520817595083536e-09,2.380204398772601e-13,reference_style,Mac-mini-de-Pablo.local,arm64,macOS-26.5-arm64-arm-64bit,"3.11.9 (v3.11.9:de54cf5be3, Apr  2 2024, 07:12:50) [Clang 13.0.0 (clang-1300.0.29.30)]",arm,1.26.0
CEC2022,10,1,L-SHADE,IBREAKDOWN-CF,1,paired,273107051,300.0000000069126,6.912614480825141e-09,1e-08,True,29210,29210,target_reached,0.4133582089998526,200000,29210,29210,0,0,0,0,0.0,0.0,True,False,29210,29210,26238,300.0000000069126,300.00000054478284,0,0,0,0,0,0,0.0,0,9.520817595083536e-09,2.380204398772601e-13,reference_style,Mac-mini-de-Pablo.local,arm64,macOS-26.5-arm64-arm-64bit,"3.11.9 (v3.11.9:de54cf5be3, Apr  2 2024, 07:12:50) [Clang 13.0.0 (clang-1300.0.29.30)]",arm,1.26.0
CEC2022,10,1,L-SHADE,LIME-CF,1,paired,273107051,300.0000000069126,6.912614480825141e-09,1e-08,True,29210,29210,target_reached,0.4121081250050338,200000,29210,29210,0,0,0,0,0.0,0.0,True,False,29210,29210,26238,300.0000000069126,300.00000054478284,0,0,0,0,0,0,0.0,0,9.520817595083536e-09,2.380204398772601e-13,reference_style,Mac-mini-de-Pablo.local,arm64,macOS-26.5-arm64-arm-64bit,"3.11.9 (v3.11.9:de54cf5be3, Apr  2 2024, 07:12:50) [Clang 13.0.0 (clang-1300.0.29.30)]",arm,1.26.0
CEC2022,10,1,L-SHADE,SHAP-CF,1,paired,273107051,300.0000000069126,6.912614480825141e-09,1e-08,True,29210,29210,target_reached,0.4132524169981479,200000,29210,29210,0,0,0,0,0.0,0.0,True,False,29210,29210,26238,300.0000000069126,300.00000054478284,0,0,0,0,0,0,0.0,0,9.520817595083536e-09,2.380204398772601e-13,reference_style,Mac-mini-de-Pablo.local,arm64,macOS-26.5-arm64-arm-64bit,"3.11.9 (v3.11.9:de54cf5be3, Apr  2 2024, 07:12:50) [Clang 13.0.0 (clang-1300.0.29.30)]",arm,1.26.0
CEC2022,10,1,L-SHADE,Standard,1,paired,273107051,300.0000000069126,6.912614480825141e-09,1e-08,True,29210,29210,target_reached,0.4157189580000704,200000,29210,29210,0,0,0,0,0.0,0.0,True,False,29210,29210,26238,300.0000000069126,300.00000054478284,0,0,0,0,0,0,0.0,0,9.520817595083536e-09,2.380204398772601e-13,reference_style,Mac-mini-de-Pablo.local,arm64,macOS-26.5-arm64-arm-64bit,"3.11.9 (v3.11.9:de54cf5be3, Apr  2 2024, 07:12:50) [Clang 13.0.0 (clang-1300.0.29.30)]",arm,1.26.0
